Customer_Id,Industry,Financial_Needs,Preferences,Revenue (in dollars),No of Employees
ORG_US_000,Real Estate,Payment Processing,Ethical Sourcing,100M-500M,1000-5000
ORG_US_001,Finance,Supply Chain Financing,Cloud Services,500M-1B,500-1000
ORG_US_002,IT Services,Supply Chain Financing,Digital Payments,50M-100M,1000-5000
ORG_US_003,Healthcare,Business Loans,Digital Payments,50M-100M,1000-5000
ORG_US_004,IT Services,Payment Processing,Ethical Sourcing,10M-50M,1000-5000
ORG_US_005,Retail,Supply Chain Financing,Employee Benefits,500M-1B,500-1000
ORG_US_006,Education,Business Loans,Employee Benefits,500M-1B,1000-5000
ORG_US_007,Education,Business Loans,Ethical Sourcing,10M-50M,500-1000
ORG_US_008,Healthcare,Payment Processing,Cloud Services,500M-1B,500-1000
ORG_US_009,Finance,Investment Funds,Employee Benefits,500M-1B,100-500
ORG_US_010,Manufacturing,Payment Processing,Employee Benefits,50M-100M,100-500
ORG_US_011,IT Services,Supply Chain Financing,Ethical Sourcing,10M-50M,500-1000
ORG_US_012,Education,Investment Funds,Employee Benefits,10M-50M,100-500
ORG_US_013,Manufacturing,Business Loans,Ethical Sourcing,10M-50M,500-1000
ORG_US_014,IT Services,Supply Chain Financing,Employee Benefits,100M-500M,100-500
ORG_US_015,Real Estate,Business Loans,Employee Benefits,100M-500M,100-500
ORG_US_016,Education,Business Loans,Digital Payments,500M-1B,100-500
ORG_US_017,Finance,Supply Chain Financing,Digital Payments,50M-100M,1000-5000
ORG_US_018,Manufacturing,Business Loans,Employee Benefits,10M-50M,100-500
ORG_US_019,Education,Payment Processing,Ethical Sourcing,10M-50M,500-1000
ORG_US_020,Real Estate,Business Loans,Cloud Services,10M-50M,100-500
ORG_US_021,Education,Payment Processing,Cloud Services,100M-500M,1000-5000
ORG_US_022,Real Estate,Payment Processing,Ethical Sourcing,50M-100M,500-1000
ORG_US_023,Real Estate,Payment Processing,Cloud Services,500M-1B,500-1000
ORG_US_024,Real Estate,Investment Funds,Cloud Services,500M-1B,1000-5000
ORG_US_025,IT Services,Payment Processing,Cloud Services,50M-100M,1000-5000
ORG_US_026,IT Services,Investment Funds,Cloud Services,50M-100M,100-500
ORG_US_027,Real Estate,Investment Funds,Employee Benefits,10M-50M,500-1000
ORG_US_028,Finance,Supply Chain Financing,Cloud Services,500M-1B,1000-5000
ORG_US_029,Education,Business Loans,Ethical Sourcing,500M-1B,500-1000
ORG_US_030,Healthcare,Business Loans,Digital Payments,10M-50M,1000-5000
ORG_US_031,Healthcare,Investment Funds,Digital Payments,500M-1B,500-1000
ORG_US_032,Retail,Payment Processing,Employee Benefits,500M-1B,1000-5000
ORG_US_033,IT Services,Payment Processing,Cloud Services,100M-500M,1000-5000
ORG_US_034,Finance,Supply Chain Financing,Cloud Services,500M-1B,500-1000
ORG_US_035,Finance,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_036,Manufacturing,Payment Processing,Cloud Services,500M-1B,1000-5000
ORG_US_037,Manufacturing,Payment Processing,Employee Benefits,50M-100M,500-1000
ORG_US_038,IT Services,Investment Funds,Ethical Sourcing,100M-500M,500-1000
ORG_US_039,Manufacturing,Supply Chain Financing,Employee Benefits,50M-100M,500-1000
ORG_US_040,Finance,Investment Funds,Employee Benefits,500M-1B,500-1000
ORG_US_041,IT Services,Investment Funds,Digital Payments,10M-50M,1000-5000
ORG_US_042,Real Estate,Investment Funds,Cloud Services,500M-1B,100-500
ORG_US_043,Manufacturing,Payment Processing,Ethical Sourcing,500M-1B,500-1000
ORG_US_044,Healthcare,Supply Chain Financing,Ethical Sourcing,500M-1B,500-1000
ORG_US_045,Retail,Investment Funds,Cloud Services,500M-1B,500-1000
ORG_US_046,Education,Investment Funds,Employee Benefits,500M-1B,500-1000
ORG_US_047,Real Estate,Business Loans,Cloud Services,500M-1B,1000-5000
ORG_US_048,Finance,Supply Chain Financing,Employee Benefits,10M-50M,100-500
ORG_US_049,Finance,Business Loans,Cloud Services,50M-100M,100-500
ORG_US_050,Real Estate,Payment Processing,Digital Payments,100M-500M,100-500
ORG_US_051,Retail,Payment Processing,Employee Benefits,10M-50M,100-500
ORG_US_052,Manufacturing,Payment Processing,Cloud Services,50M-100M,500-1000
ORG_US_053,Healthcare,Supply Chain Financing,Cloud Services,100M-500M,1000-5000
ORG_US_054,Real Estate,Investment Funds,Digital Payments,100M-500M,1000-5000
ORG_US_055,Finance,Payment Processing,Employee Benefits,10M-50M,1000-5000
ORG_US_056,Retail,Business Loans,Digital Payments,100M-500M,100-500
ORG_US_057,IT Services,Payment Processing,Ethical Sourcing,10M-50M,100-500
ORG_US_058,Real Estate,Business Loans,Ethical Sourcing,10M-50M,100-500
ORG_US_059,Manufacturing,Supply Chain Financing,Ethical Sourcing,50M-100M,500-1000
ORG_US_060,Manufacturing,Business Loans,Digital Payments,500M-1B,100-500
